Variety	Biomass_S12_WD	Biomass_S13_WD	Biomass_S16_WD	Biomass_W13_WD	Biomass_S12_WW	Biomass_S13_WW	Biomass_S16_WW	Biomass_W13_WW
F98902	166.5078481	293.8440823	180.4966001	240.5501636	248.2961386	310.1288498	345.9406677	355.6830086
FP1	280.7644094	307.1953239	231.5118192	261.7827059	347.64524	418.6703097	315.4705094	390.4120706
FR19	160.988096	238.8684245	199.6410408	194.7320378	273.1373507	269.1041623	260.6416863	306.242764
FR697	177.9609156	224.9790574	176.2963236	189.6694158	251.2247192	258.9095145	280.89837	248.7800011
H99	187.3565955	216.0646601	192.8580277	217.9184862	277.9631996	271.2413201	375.5863647	320.4956376
HMV5301	181.885443	217.8414276	190.9288219	225.5960087	295.3098916	326.4027764	265.4119957	383.202874
HMV5325	170.0815526	221.2070645	192.460564	198.7540458	262.9997544	288.2654122	336.3783235	311.778465
HMV5343	212.7295327	248.7268473	230.3721401	195.3328997	260.955109	265.0966624	342.8402958	277.7980315
HMV5347	216.0778442	235.350986	216.785097	223.5354204	242.9867684	305.6587873	329.0530159	398.0731347
HMV5405	190.4946792	218.0502394	200.8465915	189.5076144	228.3439388	258.6080689	284.0341492	340.0294325
HMV5409	190.4577118	221.9934829	198.7632651	231.2909795	298.5654432	284.7379332	321.8682973	319.6495531
HMV5422	160.5197737	236.1421328	203.7479573	182.0452045	252.229986	274.8231984	372.1615442	317.75749
HMV5502	170.9299353	221.7551394	218.6136295	199.8353629	268.1509306	396.1167315	328.4656968	280.0277118
I198	222.6758657	232.8399564	213.7259028	217.5921402	258.2323025	349.6486647	340.0585516	317.0033901
I205	178.0096566	192.354238	166.8984451	166.7953783	214.0669484	182.6837208	254.661764	215.2127115
I211	201.616856	249.6144897	225.4301902	225.448293	270.5127764	326.795942	349.5379755	340.7400245
I238	177.7782723	223.1370282	205.0940496	206.7228782	251.7204349	268.7429087	316.2138658	305.8998714
I242	177.2209625	252.0232547	198.3372489	241.99765	261.5285774	286.4858869	277.6289359	304.5748489
I261	200.5458569	213.9324677	188.7029894	182.1060353	249.3196593	285.4244366	264.5882159	290.4456584
I267	212.7547882	253.514167	230.7079416	237.7650138	310.7618989	332.2156732	314.5238999	346.962904
IDT	146.4719711	278.4995166	216.2249637	193.6908627	289.3932309	313.4260966	328.0588362	305.877295
LAN496	213.4616628	245.7557522	227.5889223	210.1397943	285.1180532	303.084209	402.8859305	311.0820568
LH123Ht	223.1339065	237.8837188	221.3518955	242.9162014	285.7157664	285.9906045	325.4278188	333.3924817
LH145	201.8169209	219.6460744	207.6471029	218.2910233	253.6497688	252.8854453	301.5866095	255.948777
LH38	205.6174243	254.1212724	225.6424251	199.6534039	302.1044446	311.7232949	356.685872	358.3506364
LH39	236.7630876	242.8122322	217.3202836	231.9438592	311.6145363	275.960171	380.6329248	268.3690514
LH59	175.7770016	204.4837526	186.4164294	199.6493312	226.259702	286.9558523	355.0634852	285.6044742
LH60	150.3622735	201.1844445	198.6234918	194.2454585	221.507169	245.7132545	266.6823256	293.723592
LH65	175.5540172	263.1639788	195.0465094	180.2105298	277.7741703	203.295862	310.3922067	303.917616
LH74	154.4777626	189.8174207	166.2261994	188.8060329	230.2865879	240.2258105	270.6719879	266.2506264
LH82	165.3476176	231.9657107	178.5299946	174.1608576	223.7620231	245.8116191	321.2154434	303.4295508
LH93	184.9148922	209.5385161	189.0925559	197.8939463	222.2182816	248.8050715	295.2486155	293.2138149
Lo1016	219.0937281	257.289086	217.5415133	258.1413708	272.7220598	324.0845353	320.2886238	331.4943487
Lo1026	220.0932989	259.8485158	226.3131337	249.4710192	269.0817045	326.3722581	328.9886134	347.392429
Lo1035	193.8206599	218.8430264	218.1285981	207.5294794	249.5382039	281.8028896	330.9324687	324.4619262
Lo1038	171.1364337	199.2470072	171.2159347	179.2450929	213.8525111	207.8834663	326.3650363	228.3050561
Lo1056	205.1826299	226.3184655	244.4278764	192.560566	263.8590081	281.2094402	407.5043009	342.9223322
Lo1063	196.7712061	192.4610299	184.7113903	181.5550062	219.2851668	206.5300626	293.109055	246.6726114
Lo1087	153.1057905	195.3762018	185.7744832	142.1043166	192.6224431	238.2773065	276.7742753	282.754402
Lo1094	224.645255	262.952329	213.3578296	228.5915598	248.7763363	255.9952335	339.8511739	373.2656046
Lo1095	191.9751127	249.9226203	205.0613866	222.7688915	259.8465521	205.5905086	332.1854072	328.3372818
Lo1101	162.8498034	232.5502714	210.9434863	189.0756577	217.6053529	311.7939021	276.4529123	285.3009811
Lo1106	160.7000269	214.5761245	200.6273873	215.4175472	222.3646843	272.044433	316.3831553	301.7655938
Lo1123	226.9404371	265.3728758	212.4537908	243.6619622	308.0748796	333.296954	350.0934575	371.9081781
Lo1124	176.6475956	255.477524	192.214356	187.4770972	216.1043573	263.9627028	305.1340642	248.2728807
Lo1172	184.0424653	286.3332671	234.7596648	230.1287943	255.4556901	316.0223987	387.9588035	381.5004398
Lo1180	169.4145315	271.877068	190.275482	190.4211637	246.731482	298.2261007	329.0238876	278.5438933
Lo1187	183.6617351	245.5322341	198.5301752	221.0631225	251.1326202	246.199504	264.0805296	322.5129718
Lo1199	176.3556592	258.2026048	222.0427321	204.4429823	227.8521129	297.5014762	355.9192733	321.4183421
Lo1203	190.5506226	193.3708609	205.3433055	187.1393721	237.0579497	219.6006284	308.706981	270.5458102
Lo1223	190.487503	279.486631	210.6651667	262.0808382	253.5771658	346.3152654	334.946303	359.019561
Lo1251	171.2722303	230.5740191	198.8638049	188.9981453	242.938613	308.4187942	351.5314259	275.9061613
Lo1253	182.0068454	250.3742885	247.2525061	189.2435974	306.3267813	351.6201718	373.5195149	359.8556216
Lo1261	169.4650293	276.6701706	223.1274574	214.520081	206.4795421	276.8478044	338.1805581	282.8868705
Lo1266	218.9933367	247.5942683	225.3000679	207.7480697	305.4865557	243.2997022	325.4625239	326.07735
Lo1270	196.9774698	246.9868059	215.6307479	211.4907721	253.5320751	284.0710555	365.9662129	337.4492773
Lo1273	256.4985141	284.3299887	224.8518478	234.244127	279.1068073	303.8786719	314.2473225	343.5776551
