Variety	Biomass	ENV	Treatment	Season	ENV_Biomass
F05101	293.0108713	WD_S13	WD	S13	243.5
F05404	216.2651109	WD_S13	WD	S13	243.5
F1808	237.6848415	WD_S13	WD	S13	243.5
F1890	249.9013198	WD_S13	WD	S13	243.5
F218	251.4899428	WD_S13	WD	S13	243.5
F252	238.7629544	WD_S13	WD	S13	243.5
F353	246.2474285	WD_S13	WD	S13	243.5
F354	235.3139496	WD_S13	WD	S13	243.5
F546	197.6063383	WD_S13	WD	S13	243.5
F608	244.6745471	WD_S13	WD	S13	243.5
F618	261.5051421	WD_S13	WD	S13	243.5
F7001	216.3834475	WD_S13	WD	S13	243.5
F7019	309.0460196	WD_S13	WD	S13	243.5
F7025	227.4108473	WD_S13	WD	S13	243.5
F7028	222.7798525	WD_S13	WD	S13	243.5
F7057	233.2034899	WD_S13	WD	S13	243.5
F7058	233.1155306	WD_S13	WD	S13	243.5
F7081	301.3441589	WD_S13	WD	S13	243.5
F7082	244.2327289	WD_S13	WD	S13	243.5
F712	191.7069243	WD_S13	WD	S13	243.5
F748	235.190986	WD_S13	WD	S13	243.5
F752	221.435088	WD_S13	WD	S13	243.5
F838	270.5899328	WD_S13	WD	S13	243.5
F874	260.4835958	WD_S13	WD	S13	243.5
F888	279.9523721	WD_S13	WD	S13	243.5
F894	235.9902578	WD_S13	WD	S13	243.5
F908	224.3282942	WD_S13	WD	S13	243.5
F912	226.4589341	WD_S13	WD	S13	243.5
F918	263.2100727	WD_S13	WD	S13	243.5
F922	197.8775518	WD_S13	WD	S13	243.5
F98902	293.8440823	WD_S13	WD	S13	243.5
FP1	307.1953239	WD_S13	WD	S13	243.5
FR19	238.8684245	WD_S13	WD	S13	243.5
FR697	224.9790574	WD_S13	WD	S13	243.5
H99	216.0646601	WD_S13	WD	S13	243.5
HMV5301	217.8414276	WD_S13	WD	S13	243.5
HMV5325	221.2070645	WD_S13	WD	S13	243.5
HMV5343	248.7268473	WD_S13	WD	S13	243.5
HMV5347	235.350986	WD_S13	WD	S13	243.5
HMV5405	218.0502394	WD_S13	WD	S13	243.5
HMV5409	221.9934829	WD_S13	WD	S13	243.5
HMV5422	236.1421328	WD_S13	WD	S13	243.5
HMV5502	221.7551394	WD_S13	WD	S13	243.5
I198	232.8399564	WD_S13	WD	S13	243.5
I205	192.354238	WD_S13	WD	S13	243.5
I211	249.6144897	WD_S13	WD	S13	243.5
I238	223.1370282	WD_S13	WD	S13	243.5
I242	252.0232547	WD_S13	WD	S13	243.5
I261	213.9324677	WD_S13	WD	S13	243.5
I267	253.514167	WD_S13	WD	S13	243.5
IDT	278.4995166	WD_S13	WD	S13	243.5
LAN496	245.7557522	WD_S13	WD	S13	243.5
LH123Ht	237.8837188	WD_S13	WD	S13	243.5
LH145	219.6460744	WD_S13	WD	S13	243.5
LH38	254.1212724	WD_S13	WD	S13	243.5
LH39	242.8122322	WD_S13	WD	S13	243.5
LH59	204.4837526	WD_S13	WD	S13	243.5
LH60	201.1844445	WD_S13	WD	S13	243.5
LH65	263.1639788	WD_S13	WD	S13	243.5
LH74	189.8174207	WD_S13	WD	S13	243.5
LH82	231.9657107	WD_S13	WD	S13	243.5
LH93	209.5385161	WD_S13	WD	S13	243.5
Lo1016	257.289086	WD_S13	WD	S13	243.5
Lo1026	259.8485158	WD_S13	WD	S13	243.5
Lo1035	218.8430264	WD_S13	WD	S13	243.5
Lo1038	199.2470072	WD_S13	WD	S13	243.5
Lo1056	226.3184655	WD_S13	WD	S13	243.5
Lo1063	192.4610299	WD_S13	WD	S13	243.5
Lo1087	195.3762018	WD_S13	WD	S13	243.5
Lo1094	262.952329	WD_S13	WD	S13	243.5
Lo1095	249.9226203	WD_S13	WD	S13	243.5
Lo1101	232.5502714	WD_S13	WD	S13	243.5
Lo1106	214.5761245	WD_S13	WD	S13	243.5
Lo1123	265.3728758	WD_S13	WD	S13	243.5
Lo1124	255.477524	WD_S13	WD	S13	243.5
Lo1172	286.3332671	WD_S13	WD	S13	243.5
Lo1180	271.877068	WD_S13	WD	S13	243.5
Lo1187	245.5322341	WD_S13	WD	S13	243.5
Lo1199	258.2026048	WD_S13	WD	S13	243.5
Lo1203	193.3708609	WD_S13	WD	S13	243.5
Lo1223	279.486631	WD_S13	WD	S13	243.5
Lo1251	230.5740191	WD_S13	WD	S13	243.5
Lo1253	250.3742885	WD_S13	WD	S13	243.5
Lo1261	276.6701706	WD_S13	WD	S13	243.5
Lo1266	247.5942683	WD_S13	WD	S13	243.5
Lo1270	246.9868059	WD_S13	WD	S13	243.5
Lo1273	284.3299887	WD_S13	WD	S13	243.5
Lo1274	270.3691128	WD_S13	WD	S13	243.5
Lo1280	228.2235267	WD_S13	WD	S13	243.5
Lo1284	213.2630593	WD_S13	WD	S13	243.5
Lo1288	251.1844467	WD_S13	WD	S13	243.5
Lo1290	254.661702	WD_S13	WD	S13	243.5
Lo1301	216.469328	WD_S13	WD	S13	243.5
Lo904	244.5336038	WD_S13	WD	S13	243.5
Lp5	244.011817	WD_S13	WD	S13	243.5
ML606	271.4899927	WD_S13	WD	S13	243.5
Mo15W	284.3411917	WD_S13	WD	S13	243.5
Mo17	212.5577915	WD_S13	WD	S13	243.5
MS153	259.7629796	WD_S13	WD	S13	243.5
MS71	227.18562	WD_S13	WD	S13	243.5
N16	185.5534862	WD_S13	WD	S13	243.5
N192	245.2063105	WD_S13	WD	S13	243.5
N22	183.3931807	WD_S13	WD	S13	243.5
N25	244.5226226	WD_S13	WD	S13	243.5
N6	228.1906904	WD_S13	WD	S13	243.5
NC290	226.7029515	WD_S13	WD	S13	243.5
NC358	240.2248082	WD_S13	WD	S13	243.5
NDB8	225.0887864	WD_S13	WD	S13	243.5
NK764	217.1639515	WD_S13	WD	S13	243.5
NK807	244.6612334	WD_S13	WD	S13	243.5
NQ508	246.7351448	WD_S13	WD	S13	243.5
NS701	274.6135407	WD_S13	WD	S13	243.5
Oh02	266.4968392	WD_S13	WD	S13	243.5
Oh33	288.0186351	WD_S13	WD	S13	243.5
Oh40B	284.2731266	WD_S13	WD	S13	243.5
Oh43	277.537062	WD_S13	WD	S13	243.5
Os426	264.1902405	WD_S13	WD	S13	243.5
P465P	315.6551131	WD_S13	WD	S13	243.5
Pa36	254.2447055	WD_S13	WD	S13	243.5
Pa405	253.6198973	WD_S13	WD	S13	243.5
Pa91	243.6481335	WD_S13	WD	S13	243.5
PB116	207.7684208	WD_S13	WD	S13	243.5
PB98TR	269.2579463	WD_S13	WD	S13	243.5
PH207	197.7278308	WD_S13	WD	S13	243.5
PHB09	271.7519684	WD_S13	WD	S13	243.5
PHG35	216.014066	WD_S13	WD	S13	243.5
PHG39	265.5509754	WD_S13	WD	S13	243.5
PHG47	234.1969404	WD_S13	WD	S13	243.5
PHG50	235.0509543	WD_S13	WD	S13	243.5
PHG71	259.2345369	WD_S13	WD	S13	243.5
PHG80	251.2515247	WD_S13	WD	S13	243.5
PHG84	227.9489236	WD_S13	WD	S13	243.5
PHG86	208.797306	WD_S13	WD	S13	243.5
PHH93	225.6288056	WD_S13	WD	S13	243.5
PHJ40	245.153806	WD_S13	WD	S13	243.5
PHK29	257.0257574	WD_S13	WD	S13	243.5
PHK76	228.9896057	WD_S13	WD	S13	243.5
PHR36	239.5441378	WD_S13	WD	S13	243.5
PHT77	268.207345	WD_S13	WD	S13	243.5
PHV63	235.6076741	WD_S13	WD	S13	243.5
PHW65	186.4646076	WD_S13	WD	S13	243.5
PHZ51	263.6665002	WD_S13	WD	S13	243.5
SC-Malawi	337.9829087	WD_S13	WD	S13	243.5
SGI061	235.6270105	WD_S13	WD	S13	243.5
UH_2500	242.7529788	WD_S13	WD	S13	243.5
UH_6102	275.1506764	WD_S13	WD	S13	243.5
UH_6179	257.5866991	WD_S13	WD	S13	243.5
UH_P060	280.4440483	WD_S13	WD	S13	243.5
UH_P064	234.8824571	WD_S13	WD	S13	243.5
UH_P074	207.2611223	WD_S13	WD	S13	243.5
UH_P087	227.9187909	WD_S13	WD	S13	243.5
UH_P089	237.4979353	WD_S13	WD	S13	243.5
UH_P104	253.876391	WD_S13	WD	S13	243.5
UH_P115	237.6371737	WD_S13	WD	S13	243.5
UH_P128	222.3816075	WD_S13	WD	S13	243.5
UH_P148	229.0616743	WD_S13	WD	S13	243.5
UH_S018	235.2586355	WD_S13	WD	S13	243.5
UH_S020	286.3828174	WD_S13	WD	S13	243.5
UH_S025	291.5055967	WD_S13	WD	S13	243.5
UH250	250.310989	WD_S13	WD	S13	243.5
UH304	224.6879254	WD_S13	WD	S13	243.5
Va26	273.5939672	WD_S13	WD	S13	243.5
W117	248.3224691	WD_S13	WD	S13	243.5
W153R	215.1414374	WD_S13	WD	S13	243.5
