Variety	Leaf_area	ENV	Treatment	Season	ENV_Leaf_area
PHG86	0.329439586	WD_S13	WD	S13	0.36
PHH93	0.34747961	WD_S13	WD	S13	0.36
PHJ40	0.361072417	WD_S13	WD	S13	0.36
PHK29	0.390617218	WD_S13	WD	S13	0.36
PHK76	0.329642448	WD_S13	WD	S13	0.36
PHR36	0.366488918	WD_S13	WD	S13	0.36
PHT77	0.390562031	WD_S13	WD	S13	0.36
PHV63	0.359517854	WD_S13	WD	S13	0.36
PHW65	0.331900955	WD_S13	WD	S13	0.36
PHZ51	0.412080806	WD_S13	WD	S13	0.36
SC-Malawi	0.439518048	WD_S13	WD	S13	0.36
SGI061	0.352843345	WD_S13	WD	S13	0.36
UH_2500	0.376260318	WD_S13	WD	S13	0.36
UH_6102	0.39025906	WD_S13	WD	S13	0.36
UH_6179	0.381605571	WD_S13	WD	S13	0.36
UH_P060	0.429778649	WD_S13	WD	S13	0.36
UH_P064	0.402586792	WD_S13	WD	S13	0.36
UH_P074	0.297660992	WD_S13	WD	S13	0.36
UH_P087	0.351115467	WD_S13	WD	S13	0.36
UH_P089	0.386704017	WD_S13	WD	S13	0.36
UH_P104	0.432998934	WD_S13	WD	S13	0.36
UH_P115	0.456260757	WD_S13	WD	S13	0.36
UH_P128	0.345957801	WD_S13	WD	S13	0.36
UH_P148	0.384738379	WD_S13	WD	S13	0.36
UH_S018	0.357803913	WD_S13	WD	S13	0.36
UH_S020	0.388993478	WD_S13	WD	S13	0.36
UH_S025	0.418298192	WD_S13	WD	S13	0.36
UH250	0.354733867	WD_S13	WD	S13	0.36
UH304	0.359947644	WD_S13	WD	S13	0.36
Va26	0.414615165	WD_S13	WD	S13	0.36
W117	0.409232648	WD_S13	WD	S13	0.36
W153R	0.384034393	WD_S13	WD	S13	0.36
W182E	0.389221272	WD_S13	WD	S13	0.36
W23	0.384636062	WD_S13	WD	S13	0.36
W602S	0.319651884	WD_S13	WD	S13	0.36
W604S	0.347249753	WD_S13	WD	S13	0.36
W64A	0.347557228	WD_S13	WD	S13	0.36
W9	0.342265235	WD_S13	WD	S13	0.36
W95115	0.380586097	WD_S13	WD	S13	0.36
Wf9	0.467265794	WD_S13	WD	S13	0.36
11430	0.275433024	WD_S16	WD	S16	0.27
A3	0.234141046	WD_S16	WD	S16	0.27
A310	0.291650047	WD_S16	WD	S16	0.27
A347	0.258911029	WD_S16	WD	S16	0.27
A374	0.311892529	WD_S16	WD	S16	0.27
A375	0.273178824	WD_S16	WD	S16	0.27
A554	0.262081206	WD_S16	WD	S16	0.27
AS5707	0.268195779	WD_S16	WD	S16	0.27
B100	0.267675762	WD_S16	WD	S16	0.27
B104	0.285677292	WD_S16	WD	S16	0.27
B105	0.289397969	WD_S16	WD	S16	0.27
B106	0.292566008	WD_S16	WD	S16	0.27
B107	0.219624785	WD_S16	WD	S16	0.27
B108	0.272226132	WD_S16	WD	S16	0.27
B109	0.256065979	WD_S16	WD	S16	0.27
B110	0.293318694	WD_S16	WD	S16	0.27
B113	0.269192491	WD_S16	WD	S16	0.27
B37	0.289880855	WD_S16	WD	S16	0.27
B73	0.252071339	WD_S16	WD	S16	0.27
B84	0.280713908	WD_S16	WD	S16	0.27
B89	0.287167016	WD_S16	WD	S16	0.27
B97	0.276240481	WD_S16	WD	S16	0.27
B98	0.270951453	WD_S16	WD	S16	0.27
C103	0.268345862	WD_S16	WD	S16	0.27
CO109	0.298446948	WD_S16	WD	S16	0.27
CR1Ht	0.278938852	WD_S16	WD	S16	0.27
D09	0.294572686	WD_S16	WD	S16	0.27
DE811	0.244495456	WD_S16	WD	S16	0.27
DK4676A	0.226109753	WD_S16	WD	S16	0.27
DK78010	0.247864137	WD_S16	WD	S16	0.27
DK78371A	0.268274657	WD_S16	WD	S16	0.27
DKFAPW	0.324752115	WD_S16	WD	S16	0.27
DKFBHJ	0.292346079	WD_S16	WD	S16	0.27
DKIBO2	0.286315163	WD_S16	WD	S16	0.27
