Variety	WUE_S12_WD	WUE_S13_WD	WUE_S16_WD	WUE_W13_WD	WUE_S12_WW	WUE_S13_WW	WUE_S16_WW	WUE_W13_WW
EZ37	52.34397381	51.5707229	70.51419833	68.25718667	66.2558398	43.43205358	75.29971381	92.4594588
EZ38	47.53996013	52.84927403	68.53168855	63.509317	55.45662898	47.28370633	81.25872437	76.01038682
EZ40	55.65094493	50.07627041	72.82604563	77.86804095	63.80487275	49.61091965	74.57722819	72.26242428
EZ42	53.11743892	47.62416676	68.05738401	75.54409519	62.94973067	46.99311045	78.2410809	75.53218708
EZ47	58.84787938	62.563595	81.58098299	92.70864258	69.01579575	59.29349971	99.56790582	99.96586361
EZ48	47.40024323	51.36259206	71.6548099	64.7182848	61.64599674	55.97839561	79.62283945	91.02293015
F04401	61.94435051	38.93416853	68.09918635	64.10038033	56.19086551	43.06059533	78.81411817	71.83593548
F04402	51.59995951	49.01492434	69.07007368	73.45987995	64.87369468	44.132625	78.63871889	72.76139371
F04701	48.4036259	51.50908847	77.65699633	73.94978298	60.43178001	49.34805344	86.51512625	80.01074445
F04702	53.41981296	47.99808761	70.83416645	80.53048633	63.49742191	50.88229186	76.50812826	89.56336776
F05101	50.18893605	53.97594705	66.34556109	72.5805837	64.12561702	53.1916918	86.76296653	92.38008867
F05404	61.69214313	49.31909979	74.01596016	65.51449075	69.54942071	52.17419909	84.01435317	92.93652229
F1808	53.6261448	46.01209953	67.62717844	67.58735102	72.39699288	47.13880607	77.06206986	80.95888957
F1890	46.04449352	48.85129096	74.52485596	80.67814051	66.65268086	46.03047459	79.14219809	87.39673017
F218	58.55047374	48.48399202	72.65444345	90.07918699	66.30761039	52.86269033	79.06967245	87.38568166
F252	57.78296551	48.05488275	72.23056076	73.5714379	70.02573499	50.02866431	76.36476151	82.49424684
F353	47.14806156	42.28115561	67.30247498	67.63858947	69.23952937	46.26107365	91.66657943	69.34941854
F354	69.10065438	59.27567528	81.69333912	83.08521064	69.95730574	38.61670168	99.42461465	89.46206292
F546	56.3694467	41.05063572	68.97641015	86.16737767	66.71470948	56.04284047	83.83416814	82.04961741
F608	51.71395375	44.79544229	74.98142977	70.24688168	60.13706927	49.31179909	87.64747074	73.87037029
F618	62.79870569	45.55479403	77.12400111	79.27529988	62.68733376	53.8511659	82.782213	77.70596493
F7001	49.57009207	51.2684723	79.51407792	82.2228884	74.52421849	55.00782658	90.25491444	92.76684458
F7019	45.57569193	39.68227581	68.1197041	66.28535298	59.23355125	49.03384169	76.46389807	65.00621153
F7025	57.08471501	52.3529636	69.46698541	82.9556821	72.17766114	57.65297885	81.77047775	87.8568868
F7028	59.28455145	46.23654667	76.4601812	73.87927994	65.22105934	47.35717929	89.70152651	73.02818704
F7057	60.4505266	46.41110575	70.90942521	72.1243248	56.45734163	46.24343726	79.07640528	77.49884397
F7058	54.44507443	45.37771031	68.39483148	74.40933938	62.56956239	49.4937654	87.88910021	85.88491309
F7081	53.75880233	49.15170475	66.26671268	75.36128203	67.90177137	52.63243583	86.23338562	94.47297182
F7082	56.85864929	50.70388146	67.77017973	83.0833784	67.95391315	48.07036154	85.34049006	80.10862782
F712	59.09560059	57.62211544	77.8671764	82.75344325	64.81054087	58.58000212	94.35806731	96.69561246
F748	51.33924584	43.60849554	63.33481636	73.10813173	59.92522882	51.76836774	85.58919678	79.22833474
F752	55.41857544	47.6318471	65.4250691	69.75454012	59.05351124	43.83885297	73.88015257	75.18156164
F838	60.2779186	46.44200027	69.39318489	69.99557348	64.26361738	51.14888527	82.71120692	86.50937966
F874	57.01233557	47.67681086	69.36439816	79.35253815	72.57328258	55.54851145	79.64976994	89.74786781
F888	47.30749886	45.08477471	65.89242319	69.39118669	67.44017697	50.12138691	71.79387918	97.42688709
F894	58.9445926	52.08600258	75.05542326	77.07494958	63.12581254	50.49541027	81.10115586	83.81442603
F908	45.43793724	39.68125929	56.28998799	72.72822895	61.3796129	50.86839085	72.84044691	75.19717149
F912	54.72541598	45.03530228	65.66897901	76.52568488	66.50955041	47.89522141	77.90227553	93.79284271
F918	58.99618561	58.39935837	72.13974629	81.31626117	64.72698561	68.57965794	81.63616548	91.42901963
F922	63.37595625	49.18240031	69.05897041	72.52577671	69.69491746	59.1847202	93.46213681	95.16330293
F98902	53.46137125	60.17307814	70.94345166	84.38065938	62.85831522	56.5383792	77.29944672	86.51996329
FP1	59.18792586	47.38792691	65.56640773	84.53999904	64.64236146	50.33966549	69.48385905	85.33830574
FR19	58.41503706	51.74811341	67.22153438	69.77723977	68.07600357	49.40811415	80.89194996	82.80498723
FR697	51.59936969	51.45364683	67.56620267	74.17208811	64.16699791	50.04773822	81.68308051	74.11904056
H99	56.03113543	50.56883568	69.73203825	89.25589695	66.23388237	53.6832978	82.79808102	75.33865445
HMV5301	53.51232196	45.70124651	70.86190791	80.32450036	65.34676988	47.89598803	96.08069831	78.95328263
HMV5325	55.36382548	51.39202562	76.24660056	80.17739508	66.90526165	54.37042308	95.559615	87.31830811
HMV5343	61.34781951	55.06664098	64.83992538	79.18273217	68.20172496	53.98198932	85.03165892	82.50820576
HMV5347	53.10488771	52.97551062	68.26585184	75.01885518	67.12176822	57.54577434	86.41305181	94.60305228
HMV5405	60.461726	45.69185645	68.28464566	72.48278775	60.03253661	49.16900563	72.1824025	86.9500133
HMV5409	60.93913194	51.37559226	64.28403723	80.02207218	68.96007141	53.230175	91.39587136	84.55306986
HMV5422	71.85348705	48.00381187	73.13638485	85.09911156	71.29236983	55.20460005	99.62642336	88.81439335
HMV5502	60.58140567	45.96169785	65.53054603	71.8421732	61.97905083	64.75872002	80.31463547	75.96677564
I198	52.9930503	50.87047679	70.0837603	74.23688	65.973968	57.25137007	86.64293775	91.09958009
I205	59.90072307	51.2950102	77.49179652	81.87617364	62.2080765	58.47379042	85.93471684	83.60275784
I211	58.63173666	48.98739061	68.48548894	75.39148672	68.77170941	53.64858965	88.77545736	84.33561438
I238	53.53309557	46.17310458	70.34058532	81.04371189	64.38649031	49.05847343	83.13223685	76.30190503
I242	49.30869917	48.57637589	72.44539533	82.73086102	58.30630659	51.76923971	78.42607416	81.56318593
I261	47.82314143	57.6095268	73.53809314	79.45247714	70.34648084	62.0902101	85.69323386	88.08145315
I267	49.00259834	50.30425344	68.88663296	74.89594154	65.47826109	50.5858395	75.55049223	81.29498585
IDT	51.01693518	54.23615874	64.14054177	79.17449681	58.51911502	54.83735769	71.90589046	64.64797022
LAN496	59.0477639	48.35906726	63.52660322	73.05920836	60.87203509	52.68371032	88.62483124	76.88263375
LH123Ht	51.44596565	44.16911999	72.17723082	72.75343189	53.58517921	42.06129233	76.24139241	77.35886287
LH145	48.62506883	48.31200235	67.14455246	75.98876533	62.87021244	49.29109978	76.92841876	64.5419482
LH38	49.63208563	43.96590474	71.7292266	56.71737072	62.69563766	50.12127795	86.60336257	78.86380507
LH39	53.83433081	48.46562773	72.0730787	72.89604553	64.94957392	53.05442648	83.82533613	84.35236433
LH59	53.12719737	49.84834365	71.12626482	79.74104625	60.7622959	53.34723034	80.43595161	78.08213981
