Variety	Leaf_area_S12_WD	Leaf_area_S13_WD	Leaf_area_S16_WD	Leaf_area_W13_WD	Leaf_area_S12_WW	Leaf_area_S13_WW	Leaf_area_S16_WW	Leaf_area_W13_WW
Lp5	0.27609207	0.38745278	0.260424033	0.304903398	0.308114225	0.443004587	0.436399898	0.386970302
ML606	0.2480034	0.434915877	0.302352857	0.320107983	0.348112888	0.486839134	0.474206411	0.456024494
Mo15W	0.332522687	0.425476257	0.284564584	0.306409008	0.289098204	0.351143073	0.397131273	0.351991119
Mo17	0.256662255	0.340658912	0.277189479	0.312487449	0.326691283	0.385670271	0.393358951	0.39372141
MS153	0.276318889	0.383006344	0.321962539	0.322811285	0.356480449	0.392484737	0.466298594	0.420340723
MS71	0.27049488	0.358138332	0.286258388	0.268908439	0.307649452	0.404514322	0.405110427	0.349755097
N16	0.19776428	0.287832856	0.261360555	0.256107812	0.284829146	0.319553727	0.311919105	0.362948985
N192	0.277582543	0.352219837	0.290351096	0.279881771	0.323786994	0.38278387	0.373919628	0.304450324
N22	0.235133027	0.288752966	0.267023653	0.271107107	0.312220787	0.282935933	0.416851418	0.325411841
N25	0.282529417	0.349649543	0.276425622	0.220417015	0.297651165	0.390533569	0.380018223	0.33892581
N6	0.263756664	0.333143276	0.269116573	0.258470469	0.307570278	0.364701465	0.41020589	0.370377349
NC290	0.225702683	0.314930594	0.279119457	0.276299347	0.301764155	0.389542788	0.406375456	0.327696716
NC358	0.283601574	0.360394365	0.281453276	0.307138253	0.310525929	0.384544755	0.407571575	0.343136743
NDB8	0.169825814	0.338727903	0.272607829	0.234905216	0.269950908	0.332874932	0.355700346	0.349906179
NK764	0.283920372	0.349158972	0.27238589	0.304084337	0.318431309	0.378980913	0.368641424	0.33220819
NK807	0.312908048	0.386030942	0.285516184	0.337504849	0.370041996	0.430424277	0.440355947	0.373841177
NQ508	0.235570611	0.364266581	0.242005574	0.299360335	0.284885544	0.386946768	0.419545315	0.372468598
NS701	0.262144682	0.392597144	0.299141545	0.353428624	0.340833384	0.444743106	0.406517664	0.409617289
Oh02	0.258085051	0.404672503	0.274588545	0.233546862	0.311266055	0.418040355	0.418821693	0.390486611
