Variety	Biomass	LAl	WUE	Season	Treatment
W153R	189.2993605	0.258977418	57.61256105	S12	WD
W182E	174.638371	0.271273323	58.80506518	S12	WD
W23	194.9745041	0.283244296	51.02553934	S12	WD
W602S	220.4514407	0.264937337	64.9439142	S12	WD
W604S	223.1465638	0.290073218	51.97949549	S12	WD
W64A	206.2005504	0.293593424	56.9987698	S12	WD
W9	127.8415108	0.155590994	64.30451214	S12	WD
W95115	171.9097801	0.256410216	56.87809218	S12	WD
Wf9	206.3984509	0.275183364	58.02876102	S12	WD
11430	265.6196201	0.418099893	42.18740806	S13	WD
A3	254.5482994	0.363138996	49.63815634	S13	WD
A310	303.4584544	0.401722354	57.8964576	S13	WD
A347	221.2648345	0.349612725	46.30868465	S13	WD
A374	262.8950884	0.414885511	42.68507238	S13	WD
A375	231.2558911	0.354900322	48.32589525	S13	WD
A554	253.2110537	0.394234	44.99534951	S13	WD
AS5707	235.0034696	0.327684023	58.19916565	S13	WD
B100	238.0026379	0.396387964	41.68338795	S13	WD
B104	243.489831	0.363782869	49.78632824	S13	WD
B105	259.7891833	0.383275233	53.75888471	S13	WD
B106	275.4891181	0.364060734	54.78113391	S13	WD
B107	205.3459527	0.326868098	60.33146629	S13	WD
B108	263.8836001	0.385001417	49.90944884	S13	WD
B109	224.5933008	0.341266405	50.13413324	S13	WD
B110	245.7830017	0.408442293	48.46186527	S13	WD
B113	245.1282428	0.371393784	50.04949345	S13	WD
B37	257.615003	0.362501131	54.85768383	S13	WD
B73	262.9946952	0.376844545	50.99257453	S13	WD
B84	263.961257	0.392014303	48.81509028	S13	WD
B89	284.8335124	0.394810803	51.21946887	S13	WD
B97	274.5300342	0.360714013	50.02230803	S13	WD
B98	195.8825363	0.329652342	41.722637	S13	WD
C103	259.7576529	0.349381258	63.02874395	S13	WD
CO109	306.4940623	0.415468472	54.76240166	S13	WD
CR1Ht	295.6752037	0.398383077	54.07666624	S13	WD
D09	284.5740769	0.415096526	48.3810553	S13	WD
DE811	229.9609723	0.343568897	58.12650965	S13	WD
DK4676A	235.8514764	0.331093723	55.57117341	S13	WD
DK78010	201.2806195	0.309525543	49.30039802	S13	WD
DK78371A	239.2442878	0.344213198	49.76956876	S13	WD
DKFAPW	279.3778867	0.389995029	48.79523801	S13	WD
DKFBHJ	279.8462401	0.40325074	52.35135241	S13	WD
DKIBO2	269.8237992	0.394669764	44.60973593	S13	WD
DKMBST	241.0153001	0.385544709	48.94358309	S13	WD
EA1027	320.4713315	0.409320748	57.02766335	S13	WD
EA1163	237.5542099	0.357905435	46.88515509	S13	WD
EA3076	299.4548688	0.376662928	50.41897831	S13	WD
EC136	253.2720639	0.401265975	46.54122658	S13	WD
EC140	253.4108501	0.392165493	46.14668599	S13	WD
EC151	184.4586542	0.294714274	51.28101773	S13	WD
EC169	223.4258958	0.350440879	48.39240764	S13	WD
EC175	238.063819	0.363915681	48.56317542	S13	WD
EC232	259.5148452	0.390880081	56.57474692	S13	WD
EC242C	275.7172704	0.362502511	53.18041336	S13	WD
EC334	218.4363321	0.355038519	43.64376156	S13	WD
EP10	328.8376666	0.420117936	55.03275376	S13	WD
EP2008-18	283.7597168	0.39253617	53.54466134	S13	WD
EP2008-22	226.6318182	0.365147024	54.12706097	S13	WD
EP29	272.0964565	0.398814034	53.21441268	S13	WD
EP51	283.6472866	0.355653011	59.05545716	S13	WD
EP52	282.7515314	0.382573354	51.79456816	S13	WD
EP55	237.8919572	0.368455743	51.30472818	S13	WD
EP67	262.5626621	0.356268472	58.28881565	S13	WD
EP72	220.7419181	0.323784917	60.06342957	S13	WD
EP77	329.5884233	0.457528229	51.54697956	S13	WD
EZ11A	167.7937415	0.298550279	59.30185396	S13	WD
EZ18	114.3534233	0.3	71.22001148	S13	WD
EZ31	260.2164145	0.399494724	44.90520273	S13	WD
EZ34	275.3720799	0.390520811	52.00444348	S13	WD
EZ35	215.4647703	0.352165785	53.55479431	S13	WD
EZ36	218.6426995	0.35668829	45.81079436	S13	WD
EZ37	233.1164209	0.318911986	51.5707229	S13	WD
EZ38	248.3640851	0.361684153	52.84927403	S13	WD
EZ40	220.9189111	0.325046517	50.07627041	S13	WD
EZ42	248.4562567	0.373459319	47.62416676	S13	WD
EZ47	226.421677	0.340429491	62.563595	S13	WD
EZ48	214.7422829	0.338844962	51.36259206	S13	WD
F04401	171.6895816	0.287770076	38.93416853	S13	WD
F04402	239.3507008	0.305626552	49.01492434	S13	WD
F04701	209.8715434	0.324099619	51.50908847	S13	WD
F04702	260.9302738	0.395593568	47.99808761	S13	WD
F05101	293.0108713	0.39151484	53.97594705	S13	WD
F05404	216.2651109	0.316827712	49.31909979	S13	WD
F1808	237.6848415	0.390838131	46.01209953	S13	WD
F1890	249.9013198	0.346907317	48.85129096	S13	WD
F218	251.4899428	0.394578733	48.48399202	S13	WD
F252	238.7629544	0.354636381	48.05488275	S13	WD
F353	246.2474285	0.404581927	42.28115561	S13	WD
F354	235.3139496	0.337441523	59.27567528	S13	WD
F546	197.6063383	0.339443001	41.05063572	S13	WD
F608	244.6745471	0.384256923	44.79544229	S13	WD
F618	261.5051421	0.39140756	45.55479403	S13	WD
F7001	216.3834475	0.382883473	51.2684723	S13	WD
F7019	309.0460196	0.470077511	39.68227581	S13	WD
F7025	227.4108473	0.337538689	52.3529636	S13	WD
F7028	222.7798525	0.346846416	46.23654667	S13	WD
F7057	233.2034899	0.353835689	46.41110575	S13	WD
F7058	233.1155306	0.382912224	45.37771031	S13	WD
F7081	301.3441589	0.417516598	49.15170475	S13	WD
F7082	244.2327289	0.365986793	50.70388146	S13	WD
F712	191.7069243	0.321396292	57.62211544	S13	WD
F748	235.190986	0.369760933	43.60849554	S13	WD
F752	221.435088	0.337178902	47.6318471	S13	WD
F838	270.5899328	0.408681212	46.44200027	S13	WD
F874	260.4835958	0.381417247	47.67681086	S13	WD
F888	279.9523721	0.410072861	45.08477471	S13	WD
F894	235.9902578	0.383307426	52.08600258	S13	WD
F908	224.3282942	0.366777462	39.68125929	S13	WD
F912	226.4589341	0.378977834	45.03530228	S13	WD
F918	263.2100727	0.392166753	58.39935837	S13	WD
F922	197.8775518	0.319846671	49.18240031	S13	WD
F98902	293.8440823	0.382422292	60.17307814	S13	WD
FP1	307.1953239	0.452225284	47.38792691	S13	WD
FR19	238.8684245	0.373965065	51.74811341	S13	WD
FR697	224.9790574	0.332557011	51.45364683	S13	WD
H99	216.0646601	0.370215819	50.56883568	S13	WD
HMV5301	217.8414276	0.338520228	45.70124651	S13	WD
HMV5325	221.2070645	0.350263272	51.39202562	S13	WD
HMV5343	248.7268473	0.366390341	55.06664098	S13	WD
HMV5347	235.350986	0.345157399	52.97551062	S13	WD
HMV5405	218.0502394	0.356790937	45.69185645	S13	WD
HMV5409	221.9934829	0.368278248	51.37559226	S13	WD
HMV5422	236.1421328	0.372439983	48.00381187	S13	WD
HMV5502	221.7551394	0.362530658	45.96169785	S13	WD
I198	232.8399564	0.365284246	50.87047679	S13	WD
I205	192.354238	0.321059184	51.2950102	S13	WD
I211	249.6144897	0.383772363	48.98739061	S13	WD
I238	223.1370282	0.363916892	46.17310458	S13	WD
I242	252.0232547	0.391085166	48.57637589	S13	WD
I261	213.9324677	0.300778608	57.6095268	S13	WD
I267	253.514167	0.36200437	50.30425344	S13	WD
IDT	278.4995166	0.366558842	54.23615874	S13	WD
LAN496	245.7557522	0.368086433	48.35906726	S13	WD
LH123Ht	237.8837188	0.404853756	44.16911999	S13	WD
LH145	219.6460744	0.365012197	48.31200235	S13	WD
LH38	254.1212724	0.418814211	43.96590474	S13	WD
LH39	242.8122322	0.394306504	48.46562773	S13	WD
LH59	204.4837526	0.329197653	49.84834365	S13	WD
LH60	201.1844445	0.333025373	49.13931416	S13	WD
LH65	263.1639788	0.380576051	53.20083432	S13	WD
LH74	189.8174207	0.318775076	43.68945284	S13	WD
LH82	231.9657107	0.339938486	47.59425588	S13	WD
LH93	209.5385161	0.33445377	46.92854252	S13	WD
Lo1016	257.289086	0.371882974	45.89870675	S13	WD
Lo1026	259.8485158	0.368345245	52.0026606	S13	WD
Lo1035	218.8430264	0.38643841	42.49158959	S13	WD
Lo1038	199.2470072	0.319648381	51.22144902	S13	WD
Lo1056	226.3184655	0.314559609	58.57953935	S13	WD
Lo1063	192.4610299	0.330223163	47.87947193	S13	WD
Lo1087	195.3762018	0.292642169	52.76021978	S13	WD
Lo1094	262.952329	0.378768777	52.63976871	S13	WD
Lo1095	249.9226203	0.354161191	50.52525565	S13	WD
Lo1101	232.5502714	0.375230534	47.17567157	S13	WD
Lo1106	214.5761245	0.345736346	55.32190416	S13	WD
Lo1123	265.3728758	0.427761461	42.50661485	S13	WD
Lo1124	255.477524	0.357174404	52.55399557	S13	WD
Lo1172	286.3332671	0.421967773	45.95363205	S13	WD
Lo1180	271.877068	0.404611636	47.72469728	S13	WD
Lo1187	245.5322341	0.383638998	51.35690492	S13	WD
Lo1199	258.2026048	0.365436258	51.95278624	S13	WD
Lo1203	193.3708609	0.315987929	49.37761642	S13	WD
Lo1223	279.486631	0.380503418	50.82954195	S13	WD
Lo1251	230.5740191	0.351221058	53.06293612	S13	WD
Lo1253	250.3742885	0.400318927	45.62703977	S13	WD
Lo1261	276.6701706	0.414074632	50.29068102	S13	WD
Lo1266	247.5942683	0.38923933	46.35188048	S13	WD
Lo1270	246.9868059	0.35163262	53.24683659	S13	WD
Lo1273	284.3299887	0.407877886	50.09807031	S13	WD
Lo1274	270.3691128	0.40417762	48.2318525	S13	WD
Lo1280	228.2235267	0.331351416	49.09630031	S13	WD
Lo1284	213.2630593	0.373393372	40.52372041	S13	WD
Lo1288	251.1844467	0.323169519	60.56786418	S13	WD
Lo1290	254.661702	0.39222407	45.96383186	S13	WD
Lo1301	216.469328	0.34041107	47.34002392	S13	WD
Lo904	244.5336038	0.365339876	48.86471098	S13	WD
Lp5	244.011817	0.38745278	47.30257697	S13	WD
ML606	271.4899927	0.434915877	43.56192955	S13	WD
Mo15W	284.3411917	0.425476257	58.84363779	S13	WD
Mo17	212.5577915	0.340658912	51.93487012	S13	WD
MS153	259.7629796	0.383006344	54.85579468	S13	WD
MS71	227.18562	0.358138332	45.621888	S13	WD
N16	185.5534862	0.287832856	52.86165956	S13	WD
N192	245.2063105	0.352219837	47.28699853	S13	WD
N22	183.3931807	0.288752966	48.34041721	S13	WD
N25	244.5226226	0.349649543	48.53529106	S13	WD
N6	228.1906904	0.333143276	55.87587784	S13	WD
NC290	226.7029515	0.314930594	56.72378546	S13	WD
NC358	240.2248082	0.360394365	48.34603102	S13	WD
NDB8	225.0887864	0.338727903	53.81311954	S13	WD
