Variety	WUE	ENV	Treatment	Season	ENV_WUE
LH123Ht	44.16911999	WD_S13	WD	S13	49.96
LH145	48.31200235	WD_S13	WD	S13	49.96
LH38	43.96590474	WD_S13	WD	S13	49.96
LH39	48.46562773	WD_S13	WD	S13	49.96
LH59	49.84834365	WD_S13	WD	S13	49.96
LH60	49.13931416	WD_S13	WD	S13	49.96
LH65	53.20083432	WD_S13	WD	S13	49.96
LH74	43.68945284	WD_S13	WD	S13	49.96
LH82	47.59425588	WD_S13	WD	S13	49.96
LH93	46.92854252	WD_S13	WD	S13	49.96
Lo1016	45.89870675	WD_S13	WD	S13	49.96
Lo1026	52.0026606	WD_S13	WD	S13	49.96
Lo1035	42.49158959	WD_S13	WD	S13	49.96
Lo1038	51.22144902	WD_S13	WD	S13	49.96
Lo1056	58.57953935	WD_S13	WD	S13	49.96
Lo1063	47.87947193	WD_S13	WD	S13	49.96
Lo1087	52.76021978	WD_S13	WD	S13	49.96
Lo1094	52.63976871	WD_S13	WD	S13	49.96
Lo1095	50.52525565	WD_S13	WD	S13	49.96
Lo1101	47.17567157	WD_S13	WD	S13	49.96
Lo1106	55.32190416	WD_S13	WD	S13	49.96
Lo1123	42.50661485	WD_S13	WD	S13	49.96
Lo1124	52.55399557	WD_S13	WD	S13	49.96
Lo1172	45.95363205	WD_S13	WD	S13	49.96
Lo1180	47.72469728	WD_S13	WD	S13	49.96
Lo1187	51.35690492	WD_S13	WD	S13	49.96
Lo1199	51.95278624	WD_S13	WD	S13	49.96
Lo1203	49.37761642	WD_S13	WD	S13	49.96
Lo1223	50.82954195	WD_S13	WD	S13	49.96
Lo1251	53.06293612	WD_S13	WD	S13	49.96
Lo1253	45.62703977	WD_S13	WD	S13	49.96
Lo1261	50.29068102	WD_S13	WD	S13	49.96
Lo1266	46.35188048	WD_S13	WD	S13	49.96
Lo1270	53.24683659	WD_S13	WD	S13	49.96
Lo1273	50.09807031	WD_S13	WD	S13	49.96
Lo1274	48.2318525	WD_S13	WD	S13	49.96
Lo1280	49.09630031	WD_S13	WD	S13	49.96
Lo1284	40.52372041	WD_S13	WD	S13	49.96
Lo1288	60.56786418	WD_S13	WD	S13	49.96
Lo1290	45.96383186	WD_S13	WD	S13	49.96
Lo1301	47.34002392	WD_S13	WD	S13	49.96
Lo904	48.86471098	WD_S13	WD	S13	49.96
Lp5	47.30257697	WD_S13	WD	S13	49.96
ML606	43.56192955	WD_S13	WD	S13	49.96
Mo15W	58.84363779	WD_S13	WD	S13	49.96
Mo17	51.93487012	WD_S13	WD	S13	49.96
MS153	54.85579468	WD_S13	WD	S13	49.96
MS71	45.621888	WD_S13	WD	S13	49.96
N16	52.86165956	WD_S13	WD	S13	49.96
N192	47.28699853	WD_S13	WD	S13	49.96
N22	48.34041721	WD_S13	WD	S13	49.96
N25	48.53529106	WD_S13	WD	S13	49.96
N6	55.87587784	WD_S13	WD	S13	49.96
NC290	56.72378546	WD_S13	WD	S13	49.96
NC358	48.34603102	WD_S13	WD	S13	49.96
NDB8	53.81311954	WD_S13	WD	S13	49.96
NK764	48.3944652	WD_S13	WD	S13	49.96
NK807	43.47283331	WD_S13	WD	S13	49.96
NQ508	48.1637907	WD_S13	WD	S13	49.96
NS701	47.72455064	WD_S13	WD	S13	49.96
Oh02	56.29429206	WD_S13	WD	S13	49.96
Oh33	53.28180468	WD_S13	WD	S13	49.96
Oh40B	51.26549071	WD_S13	WD	S13	49.96
Oh43	50.19448748	WD_S13	WD	S13	49.96
Os426	47.0194689	WD_S13	WD	S13	49.96
P465P	53.46528336	WD_S13	WD	S13	49.96
Pa36	48.29453193	WD_S13	WD	S13	49.96
Pa405	51.24304405	WD_S13	WD	S13	49.96
Pa91	49.42603237	WD_S13	WD	S13	49.96
PB116	53.05534751	WD_S13	WD	S13	49.96
PB98TR	54.97577788	WD_S13	WD	S13	49.96
PH207	46.34523916	WD_S13	WD	S13	49.96
PHB09	52.44479074	WD_S13	WD	S13	49.96
PHG35	46.78708119	WD_S13	WD	S13	49.96
PHG39	43.96538976	WD_S13	WD	S13	49.96
PHG47	52.52178728	WD_S13	WD	S13	49.96
PHG50	46.99309439	WD_S13	WD	S13	49.96
PHG71	49.57807923	WD_S13	WD	S13	49.96
PHG80	55.4276947	WD_S13	WD	S13	49.96
PHG84	44.71199425	WD_S13	WD	S13	49.96
PHG86	53.38071681	WD_S13	WD	S13	49.96
PHH93	47.02551172	WD_S13	WD	S13	49.96
PHJ40	55.13605099	WD_S13	WD	S13	49.96
PHK29	52.64716727	WD_S13	WD	S13	49.96
PHK76	57.91956066	WD_S13	WD	S13	49.96
PHR36	50.7892704	WD_S13	WD	S13	49.96
PHT77	51.1625336	WD_S13	WD	S13	49.96
PHV63	56.20804662	WD_S13	WD	S13	49.96
PHW65	50.45170329	WD_S13	WD	S13	49.96
PHZ51	50.21647633	WD_S13	WD	S13	49.96
SC-Malawi	57.74191355	WD_S13	WD	S13	49.96
SGI061	46.57012071	WD_S13	WD	S13	49.96
UH_2500	43.54635619	WD_S13	WD	S13	49.96
UH_6102	45.76637603	WD_S13	WD	S13	49.96
UH_6179	44.58115069	WD_S13	WD	S13	49.96
UH_P060	42.18945372	WD_S13	WD	S13	49.96
UH_P064	40.22900367	WD_S13	WD	S13	49.96
UH_P074	47.25518541	WD_S13	WD	S13	49.96
UH_P087	41.64826761	WD_S13	WD	S13	49.96
UH_P089	43.84612656	WD_S13	WD	S13	49.96
UH_P104	35.231694	WD_S13	WD	S13	49.96
UH_P115	42.82584358	WD_S13	WD	S13	49.96
UH_P128	43.46729987	WD_S13	WD	S13	49.96
UH_P148	45.20907804	WD_S13	WD	S13	49.96
UH_S018	54.52345982	WD_S13	WD	S13	49.96
UH_S020	48.19648709	WD_S13	WD	S13	49.96
UH_S025	52.8096114	WD_S13	WD	S13	49.96
UH250	48.24573032	WD_S13	WD	S13	49.96
UH304	42.36681506	WD_S13	WD	S13	49.96
Va26	51.37970658	WD_S13	WD	S13	49.96
W117	46.17645021	WD_S13	WD	S13	49.96
W153R	40.07257237	WD_S13	WD	S13	49.96
W182E	53.66095451	WD_S13	WD	S13	49.96
W23	48.02771742	WD_S13	WD	S13	49.96
W602S	43.80637372	WD_S13	WD	S13	49.96
W604S	53.51141815	WD_S13	WD	S13	49.96
W64A	47.62345152	WD_S13	WD	S13	49.96
W9	52.43068312	WD_S13	WD	S13	49.96
W95115	46.53311617	WD_S13	WD	S13	49.96
Wf9	46.56065199	WD_S13	WD	S13	49.96
11430	68.7860166	WD_S16	WD	S16	70.12
A3	63.41395707	WD_S16	WD	S16	70.12
A310	75.98960963	WD_S16	WD	S16	70.12
A347	62.0199263	WD_S16	WD	S16	70.12
A374	68.33037287	WD_S16	WD	S16	70.12
A375	71.32200913	WD_S16	WD	S16	70.12
A554	66.88780332	WD_S16	WD	S16	70.12
AS5707	71.0736619	WD_S16	WD	S16	70.12
B100	68.37503562	WD_S16	WD	S16	70.12
B104	65.92520757	WD_S16	WD	S16	70.12
B105	67.71664245	WD_S16	WD	S16	70.12
B106	67.086734	WD_S16	WD	S16	70.12
B107	81.19065312	WD_S16	WD	S16	70.12
B108	71.36361386	WD_S16	WD	S16	70.12
B109	64.4807568	WD_S16	WD	S16	70.12
B110	67.92306308	WD_S16	WD	S16	70.12
B113	68.84970454	WD_S16	WD	S16	70.12
B37	74.83469148	WD_S16	WD	S16	70.12
B73	72.23003694	WD_S16	WD	S16	70.12
B84	66.53385808	WD_S16	WD	S16	70.12
B89	68.20557763	WD_S16	WD	S16	70.12
B97	68.0603621	WD_S16	WD	S16	70.12
B98	63.06800493	WD_S16	WD	S16	70.12
C103	84.40856804	WD_S16	WD	S16	70.12
CO109	82.00500109	WD_S16	WD	S16	70.12
CR1Ht	70.29942808	WD_S16	WD	S16	70.12
D09	77.50208524	WD_S16	WD	S16	70.12
DE811	66.24668976	WD_S16	WD	S16	70.12
DK4676A	69.163998	WD_S16	WD	S16	70.12
DK78010	69.33769733	WD_S16	WD	S16	70.12
DK78371A	72.49887145	WD_S16	WD	S16	70.12
DKFAPW	59.57890023	WD_S16	WD	S16	70.12
DKFBHJ	65.55807625	WD_S16	WD	S16	70.12
DKIBO2	56.81899126	WD_S16	WD	S16	70.12
DKMBST	62.42890489	WD_S16	WD	S16	70.12
