tag,score_i,score_j,flips_abs,n_pairs,flips_frac
full_res10,ESP,SI,320,3160,0.10126582278481013
full_res10,ESP,RSI,3085,3160,0.9762658227848101
full_res10,ESP,EVS,663,3160,0.2098101265822785
full_res10,CEV,PFI,229,3160,0.07246835443037974
full_res10,CEV,APC,788,3160,0.24936708860759493
full_res10,CEV,SI,307,3160,0.09715189873417722
full_res10,CEV,RSI,3160,3160,1
full_res10,CEV,EVS,664,3160,0.21012658227848102
full_res10,PFI,APC,639,3160,0.20221518987341772
full_res10,PFI,SI,424,3160,0.1341772151898734
full_res10,PFI,RSI,2931,3160,0.9275316455696202
full_res10,PFI,EVS,743,3160,0.23512658227848102
full_res10,APC,SI,661,3160,0.20917721518987342
full_res10,APC,RSI,2372,3160,0.7506329113924051
full_res10,APC,EVS,570,3160,0.18037974683544303
full_res10,SI,RSI,2853,3160,0.9028481012658228
full_res10,SI,EVS,357,3160,0.1129746835443038
full_res10,RSI,EVS,2496,3160,0.789873417721519
