tag,score_i,score_j,k,overlap,overlap_frac
full_res10,RNN,ESPIID,10,10,1
full_res10,RNN,ESPIID,15,14,0.9333333333333333
full_res10,RNN,ESPIID,20,18,0.9
full_res10,RNN,PSI,3,0,0
full_res10,RNN,PSI,5,0,0
full_res10,RNN,PSI,10,0,0
full_res10,RNN,PSI,15,3,0.2
full_res10,RNN,PSI,20,9,0.45
full_res10,RNN,RPI,3,0,0
full_res10,RNN,RPI,5,2,0.4
full_res10,RNN,RPI,10,3,0.3
full_res10,RNN,RPI,15,5,0.3333333333333333
full_res10,RNN,RPI,20,10,0.5
full_res10,RNN,PQ,3,1,0.3333333333333333
full_res10,RNN,PQ,5,4,0.8
full_res10,RNN,PQ,10,8,0.8
full_res10,RNN,PQ,15,14,0.9333333333333333
full_res10,RNN,PQ,20,17,0.85
full_res10,RNN,PR,3,1,0.3333333333333333
full_res10,RNN,PR,5,4,0.8
full_res10,RNN,PR,10,8,0.8
full_res10,RNN,PR,15,14,0.9333333333333333
full_res10,RNN,PR,20,17,0.85
full_res10,RNN,NRW,3,1,0.3333333333333333
full_res10,RNN,NRW,5,4,0.8
full_res10,RNN,NRW,10,8,0.8
full_res10,RNN,NRW,15,14,0.9333333333333333
full_res10,RNN,NRW,20,17,0.85
full_res10,RNN,ESP,3,0,0
full_res10,RNN,ESP,5,1,0.2
full_res10,RNN,ESP,10,2,0.2
full_res10,RNN,ESP,15,4,0.26666666666666666
full_res10,RNN,ESP,20,11,0.55
full_res10,RNN,CEV,3,0,0
full_res10,RNN,CEV,5,1,0.2
full_res10,RNN,CEV,10,3,0.3
full_res10,RNN,CEV,15,6,0.4
full_res10,RNN,CEV,20,11,0.55
full_res10,RNN,PFI,3,0,0
full_res10,RNN,PFI,5,1,0.2
full_res10,RNN,PFI,10,4,0.4
full_res10,RNN,PFI,15,8,0.5333333333333333
full_res10,RNN,PFI,20,12,0.6
full_res10,RNN,APC,3,3,1
full_res10,RNN,APC,5,4,0.8
full_res10,RNN,APC,10,8,0.8
full_res10,RNN,APC,15,9,0.6
full_res10,RNN,APC,20,13,0.65
full_res10,RNN,SI,3,0,0
full_res10,RNN,SI,5,2,0.4
full_res10,RNN,SI,10,5,0.5
full_res10,RNN,SI,15,9,0.6
full_res10,RNN,SI,20,16,0.8
full_res10,RNN,RSI,3,0,0
full_res10,RNN,RSI,5,0,0
full_res10,RNN,RSI,10,0,0
full_res10,RNN,RSI,15,0,0
full_res10,RNN,RSI,20,0,0
full_res10,RNN,EVS,3,0,0
full_res10,RNN,EVS,5,1,0.2
full_res10,RNN,EVS,10,5,0.5
full_res10,RNN,EVS,15,13,0.8666666666666667
full_res10,RNN,EVS,20,18,0.9
full_res10,D_slope,RC,3,0,0
full_res10,D_slope,RC,5,1,0.2
full_res10,D_slope,RC,10,3,0.3
full_res10,D_slope,RC,15,4,0.26666666666666666
full_res10,D_slope,RC,20,9,0.45
full_res10,D_slope,gPi,3,0,0
full_res10,D_slope,gPi,5,1,0.2
full_res10,D_slope,gPi,10,4,0.4
full_res10,D_slope,gPi,15,5,0.3333333333333333
full_res10,D_slope,gPi,20,9,0.45
full_res10,D_slope,PPF,3,1,0.3333333333333333
full_res10,D_slope,PPF,5,1,0.2
full_res10,D_slope,PPF,10,4,0.4
full_res10,D_slope,PPF,15,6,0.4
full_res10,D_slope,PPF,20,9,0.45
full_res10,D_slope,PPi,3,0,0
full_res10,D_slope,PPi,5,2,0.4
full_res10,D_slope,PPi,10,3,0.3
full_res10,D_slope,PPi,15,6,0.4
full_res10,D_slope,PPi,20,9,0.45
full_res10,D_slope,PImd,3,0,0
full_res10,D_slope,PImd,5,2,0.4
full_res10,D_slope,PImd,10,3,0.3
full_res10,D_slope,PImd,15,6,0.4
full_res10,D_slope,PImd,20,9,0.45
full_res10,D_slope,PILSM,3,0,0
full_res10,D_slope,PILSM,5,2,0.4
full_res10,D_slope,PILSM,10,3,0.3
full_res10,D_slope,PILSM,15,6,0.4
full_res10,D_slope,PILSM,20,9,0.45
full_res10,D_slope,RTR,3,1,0.3333333333333333
full_res10,D_slope,RTR,5,1,0.2
full_res10,D_slope,RTR,10,4,0.4
full_res10,D_slope,RTR,15,6,0.4
full_res10,D_slope,RTR,20,7,0.35
full_res10,D_slope,PIR,3,0,0
full_res10,D_slope,PIR,5,1,0.2
full_res10,D_slope,PIR,10,4,0.4
full_res10,D_slope,PIR,15,5,0.3333333333333333
full_res10,D_slope,PIR,20,9,0.45
full_res10,D_slope,RDPI,3,0,0
full_res10,D_slope,RDPI,5,2,0.4
full_res10,D_slope,RDPI,10,3,0.3
full_res10,D_slope,RDPI,15,5,0.3333333333333333
full_res10,D_slope,RDPI,20,9,0.45
full_res10,D_slope,ESPI,3,2,0.6666666666666666
full_res10,D_slope,ESPI,5,4,0.8
full_res10,D_slope,ESPI,10,8,0.8
full_res10,D_slope,ESPI,15,12,0.8
full_res10,D_slope,ESPI,20,17,0.85
full_res10,D_slope,ESPIID,3,2,0.6666666666666666
full_res10,D_slope,ESPIID,5,3,0.6
full_res10,D_slope,ESPIID,10,7,0.7
full_res10,D_slope,ESPIID,15,10,0.6666666666666666
full_res10,D_slope,ESPIID,20,15,0.75
full_res10,D_slope,PSI,3,0,0
full_res10,D_slope,PSI,5,0,0
full_res10,D_slope,PSI,10,0,0
full_res10,D_slope,PSI,15,1,0.06666666666666667
full_res10,D_slope,PSI,20,6,0.3
full_res10,D_slope,RPI,3,0,0
full_res10,D_slope,RPI,5,2,0.4
full_res10,D_slope,RPI,10,3,0.3
full_res10,D_slope,RPI,15,5,0.3333333333333333
full_res10,D_slope,RPI,20,9,0.45
full_res10,D_slope,PQ,3,2,0.6666666666666666
full_res10,D_slope,PQ,5,4,0.8
full_res10,D_slope,PQ,10,8,0.8
full_res10,D_slope,PQ,15,12,0.8
full_res10,D_slope,PQ,20,17,0.85
full_res10,D_slope,PR,3,2,0.6666666666666666
full_res10,D_slope,PR,5,4,0.8
full_res10,D_slope,PR,10,8,0.8
full_res10,D_slope,PR,15,12,0.8
full_res10,D_slope,PR,20,17,0.85
full_res10,D_slope,NRW,3,2,0.6666666666666666
full_res10,D_slope,NRW,5,4,0.8
full_res10,D_slope,NRW,10,8,0.8
full_res10,D_slope,NRW,15,12,0.8
full_res10,D_slope,NRW,20,17,0.85
full_res10,D_slope,ESP,3,0,0
full_res10,D_slope,ESP,5,1,0.2
full_res10,D_slope,ESP,10,3,0.3
full_res10,D_slope,ESP,15,4,0.26666666666666666
full_res10,D_slope,ESP,20,9,0.45
full_res10,D_slope,CEV,3,0,0
full_res10,D_slope,CEV,5,1,0.2
full_res10,D_slope,CEV,10,4,0.4
full_res10,D_slope,CEV,15,5,0.3333333333333333
full_res10,D_slope,CEV,20,9,0.45
full_res10,D_slope,PFI,3,0,0
full_res10,D_slope,PFI,5,1,0.2
full_res10,D_slope,PFI,10,3,0.3
full_res10,D_slope,PFI,15,5,0.3333333333333333
full_res10,D_slope,PFI,20,9,0.45
full_res10,D_slope,APC,3,2,0.6666666666666666
full_res10,D_slope,APC,5,3,0.6
full_res10,D_slope,APC,10,5,0.5
full_res10,D_slope,APC,15,5,0.3333333333333333
full_res10,D_slope,APC,20,10,0.5
full_res10,D_slope,SI,3,1,0.3333333333333333
full_res10,D_slope,SI,5,3,0.6
full_res10,D_slope,SI,10,6,0.6
full_res10,D_slope,SI,15,8,0.5333333333333333
